weathercode,temperature_2m_min,temperature_2m_max,temperature_2m_mean,apparent_temperature_min,apparent_temperature_max,apparent_temperature_mean,relative_humidity_2m_mean,sunshine_duration,shortwave_radiation_sum,uv_index_max,et0_fao_evapotranspiration,rain_sum,precipitation_hours,cloud_cover_min,cloud_cover_max,cloud_cover_mean,windspeed_10m_max,windgusts_10m_max,record_date
51,20.5,30.1,25.3,23.7,35.0,29.2,81,39211.21,17.47,6.1,3.54,0.1,1.0,2,95,27,9.8,40.7,2024-10-02
63,22.1,25.0,23.3,23.9,28.6,26.0,85,18039.69,10.03,2.05,2.15,8.1,7.0,30,90,58,12.9,31.3,2024-10-03
63,23.4,28.1,26.0,27.9,33.0,30.7,86,14722.18,8.99,5.95,2.0,9.9,4.0,25,82,50,10.9,44.6,2024-10-04
63,20.0,23.6,21.5,22.1,27.9,24.3,91,0.0,2.67,0.45,0.72,16.0,20.0,55,97,80,9.0,31.7,2024-10-05
51,20.2,24.6,22.1,22.5,27.8,25.0,87,682.71,6.24,4.35,1.37,0.2,2.0,31,92,56,8.7,24.8,2024-10-06
3,21.3,28.0,24.4,24.6,32.5,28.2,85,25133.52,10.02,5.5,2.17,0.0,0.0,8,80,43,9.5,44.6,2024-10-07
63,15.9,23.9,19.7,15.7,28.3,21.5,91,0.0,2.41,0.35,0.68,21.1,24.0,40,95,76,12.3,36.0,2024-10-08
63,15.9,17.8,16.7,15.2,17.3,16.3,88,0.0,2.42,1.5,0.79,49.1,15.0,15,100,73,17.3,45.4,2024-10-09
3,16.5,21.4,18.6,15.4,21.0,18.0,72,7394.49,7.83,1.1,2.15,0.0,0.0,14,88,41,14.7,48.2,2024-10-10
3,15.4,23.1,19.3,14.8,24.5,19.7,70,32438.4,16.61,5.3,3.12,0.0,0.0,1,85,28,8.9,26.3,2024-10-11
0,16.6,24.5,20.3,17.1,25.4,21.3,74,36217.96,16.83,5.5,3.11,0.0,0.0,2,17,9,9.4,24.1,2024-10-12
1,17.1,25.2,20.5,17.9,26.0,21.1,73,36250.26,16.36,5.5,3.19,0.0,0.0,0,24,6,11.3,28.1,2024-10-13
1,16.1,24.2,20.0,15.6,25.1,20.7,75,34208.51,15.45,5.45,2.91,0.0,0.0,1,44,18,11.5,28.1,2024-10-14
2,17.5,25.1,21.1,18.9,26.6,22.8,78,33333.79,15.21,5.45,2.8,0.0,0.0,5,59,23,7.6,16.6,2024-10-15
3,18.5,26.0,21.9,20.1,29.2,24.4,80,19556.81,8.91,3.5,1.75,0.0,0.0,3,100,57,6.0,18.0,2024-10-16
3,19.5,25.3,22.0,21.9,27.8,24.5,86,21160.72,9.12,3.75,1.83,0.0,0.0,29,92,52,8.6,26.6,2024-10-17
55,19.6,22.6,21.0,21.7,26.3,24.1,95,0.0,4.26,2.55,0.88,2.1,6.0,34,100,65,8.5,26.3,2024-10-18
61,20.5,29.3,24.0,21.0,33.8,27.5,85,28800.0,12.91,4.65,2.76,3.7,6.0,12,100,65,18.6,50.0,2024-10-19
3,13.6,21.7,17.2,12.0,21.1,14.9,58,25564.35,11.74,4.0,3.11,0.0,0.0,2,85,33,20.4,51.8,2024-10-20
2,11.1,19.2,15.4,8.7,17.6,13.7,66,33637.98,13.99,2.8,2.59,0.0,0.0,0,60,25,12.1,39.2,2024-10-21
3,14.2,22.2,18.3,13.1,23.0,18.0,71,30604.43,11.85,4.75,2.3,0.0,0.0,8,100,35,10.8,27.0,2024-10-22
63,17.9,24.5,21.3,19.2,28.7,24.2,90,609.53,4.15,4.5,0.88,14.0,10.0,12,100,59,11.9,44.3,2024-10-23
51,19.8,25.7,22.3,20.9,29.5,24.9,83,25614.87,11.31,4.35,2.15,0.2,1.0,9,90,49,10.3,36.7,2024-10-24
53,18.1,21.1,19.7,18.9,22.2,21.1,83,1103.54,4.89,1.15,1.1,1.4,3.0,61,89,73,9.7,26.3,2024-10-25
3,16.7,21.0,18.7,16.7,22.6,19.7,83,479.91,5.55,2.35,1.15,0.0,0.0,37,85,67,9.0,23.4,2024-10-26
53,16.4,22.4,19.4,17.6,24.4,21.4,88,17499.01,8.78,4.35,1.56,0.8,3.0,20,100,54,7.5,21.6,2024-10-27
61,17.6,20.4,19.0,18.4,22.3,20.4,86,0.0,3.77,0.65,0.91,12.8,10.0,36,85,64,9.8,26.3,2024-10-28
63,12.4,18.1,15.9,10.9,18.4,14.8,77,2301.02,4.38,1.5,1.33,19.1,11.0,49,99,71,13.9,35.6,2024-10-29
61,12.5,21.6,16.3,10.9,22.7,15.0,78,14611.39,6.64,2.9,1.88,13.4,10.0,0,93,53,20.6,50.0,2024-10-30
2,14.6,20.0,17.2,12.6,19.3,16.1,61,32862.66,14.03,4.2,2.69,0.0,0.0,0,66,29,13.6,31.7,2024-10-31
61,13.3,21.0,16.6,12.8,21.8,16.8,76,26545.91,10.57,4.55,1.77,6.0,7.0,8,98,40,9.1,15.5,2024-11-01
65,14.7,17.5,15.7,14.7,17.4,16.1,94,0.0,1.71,0.85,0.43,45.8,20.0,70,100,88,18.9,61.2,2024-11-02
3,15.8,21.4,18.4,15.8,19.7,17.5,65,32400.0,14.36,4.55,2.78,0.0,0.0,0,96,26,13.3,33.8,2024-11-03
0,12.2,22.6,17.6,11.4,21.7,17.2,72,32400.0,13.87,4.45,2.58,0.0,0.0,0,10,3,14.7,35.3,2024-11-04
3,13.9,19.8,16.6,13.1,18.5,15.8,72,27480.17,10.33,3.05,2.06,0.0,0.0,0,83,32,12.8,37.4,2024-11-05
3,13.0,15.6,14.3,11.2,14.6,13.0,74,17287.19,7.14,0.8,1.38,0.0,0.0,32,86,55,10.8,31.7,2024-11-06
1,10.6,15.7,13.0,6.5,12.5,9.7,59,32400.0,14.05,4.25,2.87,0.0,0.0,0,28,6,18.1,45.7,2024-11-07
1,10.1,14.9,12.2,6.4,12.5,9.4,57,32400.0,13.28,3.95,2.44,0.0,0.0,2,23,9,18.8,31.7,2024-11-08
2,9.0,16.5,12.7,6.5,14.0,10.5,63,32400.0,13.73,4.15,2.27,0.0,0.0,0,57,9,9.8,25.6,2024-11-09
51,10.4,16.3,13.2,7.3,14.9,11.1,66,9570.26,5.77,1.65,1.5,0.2,2.0,23,87,51,11.8,28.8,2024-11-10
51,13.8,20.9,16.7,13.5,21.8,16.9,83,16646.74,6.24,3.45,1.23,0.7,5.0,3,99,53,8.8,26.3,2024-11-11
1,12.6,20.5,16.5,11.9,21.3,16.2,74,32400.0,11.29,2.0,1.89,0.0,0.0,0,32,10,8.7,16.2,2024-11-12
1,14.0,19.3,16.1,12.7,17.6,14.7,67,32400.0,13.1,4.05,2.45,0.0,0.0,0,45,10,15.0,32.4,2024-11-13
3,11.4,18.8,15.1,9.7,18.8,14.4,72,27430.62,10.72,2.5,1.76,0.0,0.0,7,81,42,8.7,25.2,2024-11-14
63,13.8,17.8,15.5,13.3,18.8,16.0,92,10476.7,5.26,2.95,0.89,14.3,7.0,20,99,66,10.3,18.4,2024-11-15
3,13.6,18.4,16.1,12.2,18.2,15.6,80,19400.57,6.94,2.9,1.34,0.0,0.0,20,95,67,11.7,30.2,2024-11-16
51,15.2,21.6,17.7,14.9,23.0,18.3,85,22205.16,8.53,3.85,1.51,0.2,2.0,1,100,52,10.9,25.2,2024-11-17
51,9.5,17.4,13.5,4.7,15.8,10.5,60,9353.43,4.02,0.5,1.94,0.2,2.0,36,93,63,19.8,46.1,2024-11-18
2,6.9,11.9,9.4,1.9,8.4,5.3,52,32400.0,12.08,3.75,2.45,0.0,0.0,0,52,21,20.9,48.6,2024-11-19
61,5.6,8.1,7.1,2.5,5.7,4.0,75,0.0,1.66,0.65,0.7,5.4,13.0,15,100,77,11.4,30.2,2024-11-20
51,8.3,13.4,11.3,5.8,13.0,10.0,87,5421.74,4.29,0.55,0.74,0.7,4.0,10,91,58,12.7,30.6,2024-11-21
1,9.8,17.4,13.3,7.8,16.5,12.1,71,32400.0,12.0,3.65,1.88,0.0,0.0,0,43,19,13.9,31.0,2024-11-22
1,8.9,14.3,11.5,5.6,10.3,7.6,52,32400.0,11.75,3.1,2.7,0.0,0.0,0,39,14,18.5,55.1,2024-11-23
2,8.1,13.4,10.5,4.9,10.6,7.4,57,30299.58,11.38,3.6,2.03,0.0,0.0,2,57,27,11.2,25.6,2024-11-24
0,6.9,13.6,10.2,3.4,10.7,7.3,57,32400.0,12.34,3.6,2.03,0.0,0.0,0,16,2,11.9,23.0,2024-11-25
63,6.2,13.1,9.6,3.3,11.3,7.4,71,28800.0,9.5,2.6,1.39,4.9,4.0,0,99,47,8.7,16.9,2024-11-26
65,9.5,20.8,14.8,7.8,20.9,13.5,74,29493.02,10.19,3.0,2.24,34.8,8.0,0,100,30,17.7,58.7,2024-11-27
0,10.1,15.9,13.1,6.6,12.0,9.7,47,32400.0,12.09,3.55,2.74,0.0,0.0,0,10,1,17.1,68.0,2024-11-28
1,9.1,15.0,11.5,6.0,11.9,8.2,47,32400.0,11.17,3.5,2.33,0.0,0.0,0,31,7,11.7,33.1,2024-11-29
1,6.6,15.6,10.9,3.3,12.8,8.0,50,32392.76,11.16,3.45,1.95,0.0,0.0,0,38,6,10.5,27.0,2024-11-30
1,7.6,15.4,11.2,4.5,13.1,8.7,60,32371.01,11.66,3.45,1.91,0.0,0.0,0,20,2,10.2,14.8,2024-12-01
1,8.1,15.3,11.5,5.5,13.9,9.6,70,32304.5,10.58,3.4,1.61,0.0,0.0,0,38,15,9.9,20.5,2024-12-02
2,7.4,16.0,11.5,5.4,14.9,10.0,74,32240.59,11.5,3.4,1.63,0.0,0.0,0,63,8,7.4,22.0,2024-12-03
3,8.1,16.3,11.7,5.8,13.8,9.3,65,32179.37,11.37,3.35,1.97,0.0,0.0,0,90,22,12.1,19.4,2024-12-04
1,8.3,14.3,11.1,5.2,12.7,8.6,58,30860.15,10.07,3.2,1.79,0.0,0.0,0,45,22,10.6,22.7,2024-12-05
1,7.3,16.3,11.0,4.5,13.1,8.0,52,32065.4,11.15,3.35,2.08,0.0,0.0,0,37,8,12.0,42.5,2024-12-06
3,6.4,11.2,8.9,2.7,8.6,5.8,57,32012.85,10.36,3.25,1.73,0.0,0.0,0,87,23,12.0,24.5,2024-12-07
2,5.3,12.1,7.9,2.1,8.2,4.3,58,31963.36,11.0,3.15,2.01,0.0,0.0,0,72,21,16.2,48.2,2024-12-08
1,5.1,11.4,7.8,0.9,7.6,3.8,48,31917.06,11.52,3.15,2.19,0.0,0.0,0,41,4,12.7,40.7,2024-12-09
2,5.2,12.4,8.7,1.7,9.3,5.4,53,31874.03,11.31,3.25,1.91,0.0,0.0,0,73,14,14.0,24.8,2024-12-10
2,5.6,12.9,8.5,1.9,9.7,4.9,54,30592.17,10.14,3.0,2.03,0.0,0.0,0,60,33,18.8,41.8,2024-12-11
0,4.4,9.3,6.5,-0.3,4.4,1.7,47,31798.15,11.44,2.75,2.33,0.0,0.0,0,3,0,17.9,45.7,2024-12-12
3,3.8,10.1,6.5,-0.0,7.5,3.3,51,26683.77,6.88,2.15,1.24,0.0,0.0,0,100,62,12.1,24.8,2024-12-13
3,4.4,10.8,7.0,-0.2,5.6,2.5,50,31543.17,11.32,3.15,2.23,0.0,0.0,0,93,17,17.4,50.0,2024-12-14
0,2.9,12.1,7.1,-0.5,8.8,3.7,49,31683.96,11.25,3.2,1.79,0.0,0.0,0,3,0,9.8,28.8,2024-12-15
0,5.3,11.1,8.1,2.1,8.2,5.2,55,31644.87,11.19,3.25,1.61,0.0,0.0,0,4,0,7.7,20.9,2024-12-16
0,4.5,12.5,8.6,1.2,9.4,5.5,56,31607.95,11.16,3.2,1.73,0.0,0.0,0,13,2,9.7,13.0,2024-12-17
2,4.5,10.9,7.5,0.3,6.8,3.9,54,31573.33,10.77,3.15,1.88,0.0,0.0,0,67,17,13.2,38.2,2024-12-18
2,3.4,8.1,5.3,-0.6,4.1,1.2,59,27342.05,8.87,2.45,1.63,0.0,0.0,0,75,25,16.5,48.2,2024-12-19
3,3.0,10.9,7.3,-0.8,8.5,4.1,55,30638.53,10.59,3.0,1.66,0.0,0.0,0,88,38,9.4,36.7,2024-12-20
1,4.8,14.7,10.1,1.5,10.4,6.6,59,31478.7,10.46,3.0,2.13,0.0,0.0,0,47,12,21.2,58.7,2024-12-21
1,4.3,9.6,7.1,-0.6,6.7,2.5,51,31449.8,10.54,3.1,2.21,0.0,0.0,0,30,3,20.3,50.4,2024-12-22
1,3.2,9.8,6.2,-1.8,6.4,1.9,42,31422.38,11.33,3.15,2.08,0.0,0.0,0,25,3,19.4,30.6,2024-12-23
1,4.2,10.6,7.1,0.2,6.6,2.9,49,31073.31,10.92,3.1,2.17,0.0,0.0,0,42,14,16.2,24.8,2024-12-24
3,5.2,10.1,7.7,0.6,7.0,4.1,51,28274.63,9.97,2.75,1.84,0.0,0.0,0,93,20,14.0,23.8,2024-12-25
3,4.1,13.7,8.3,0.6,11.1,5.3,56,29901.6,10.05,3.2,1.56,0.0,0.0,1,99,35,10.4,32.0,2024-12-26
1,4.8,10.9,7.2,1.3,7.6,3.6,55,31170.66,10.11,3.2,1.83,0.0,0.0,0,36,9,16.1,27.4,2024-12-27
2,3.0,9.8,5.7,-0.5,6.8,2.3,58,30844.88,10.58,3.2,1.56,0.0,0.0,0,61,12,19.5,32.4,2024-12-28
0,2.0,11.4,6.0,-1.2,8.0,2.4,56,31101.55,11.11,3.1,1.8,0.0,0.0,0,19,3,18.0,43.2,2024-12-29
2,3.5,9.1,6.3,-0.7,5.8,2.7,55,31004.44,10.34,2.7,1.63,0.0,0.0,0,79,22,12.2,21.6,2024-12-30
2,3.2,14.6,7.9,-0.1,11.8,4.4,58,30790.21,10.53,3.25,1.99,0.0,0.0,0,69,21,18.1,56.2,2024-12-31
0,4.2,10.1,7.0,-0.5,5.9,2.9,45,31252.9,11.55,2.8,2.04,0.0,0.0,0,5,1,13.7,39.2,2025-01-01
1,3.3,12.4,7.6,-0.6,9.3,4.4,52,30587.09,11.24,3.3,1.71,0.0,0.0,0,38,11,8.7,15.5,2025-01-02
51,3.5,7.7,5.4,-0.4,5.5,2.3,76,9803.07,4.17,0.55,0.74,0.1,1.0,4,92,49,11.6,31.0,2025-01-03
3,2.0,8.1,5.0,-2.1,4.1,1.2,59,31051.68,11.57,3.25,1.55,0.0,0.0,0,83,28,11.9,28.1,2025-01-04
2,0.9,8.8,4.8,-2.8,6.8,1.6,61,29824.34,10.69,3.2,1.34,0.0,0.0,0,53,13,7.8,18.7,2025-01-05
63,2.5,9.2,4.8,-1.2,7.3,1.9,73,15080.15,5.57,2.5,0.81,27.5,10.0,0,99,50,15.3,38.2,2025-01-06
51,5.1,12.1,9.0,2.2,9.7,6.1,64,22453.0,8.01,2.35,1.52,0.1,1.0,0,83,34,11.3,39.6,2025-01-07
1,4.4,10.9,6.9,-0.2,6.3,2.6,42,31138.14,11.58,3.2,2.32,0.0,0.0,0,37,4,15.2,42.5,2025-01-08
2,3.3,11.9,6.6,-0.9,6.9,2.0,43,31237.51,11.99,3.25,2.41,0.0,0.0,0,53,6,18.0,49.0,2025-01-09
0,1.5,7.7,4.4,-3.3,2.6,-0.3,39,31255.48,12.19,3.3,2.19,0.0,0.0,0,0,0,16.2,40.7,2025-01-10
0,1.6,9.5,5.4,-2.6,5.7,1.4,45,31266.82,12.13,3.3,1.84,0.0,0.0,0,2,0,11.1,14.4,2025-01-11
3,2.2,7.6,4.8,-1.6,5.5,1.5,63,20693.21,7.01,3.2,1.1,0.0,0.0,12,96,65,9.6,20.5,2025-01-12
1,3.4,11.1,6.6,-0.5,6.6,2.5,55,31295.48,12.18,3.35,2.11,0.0,0.0,0,47,10,19.0,51.8,2025-01-13
1,2.2,11.2,6.7,-1.2,8.6,3.8,57,31219.78,12.13,3.5,1.59,0.0,0.0,0,36,4,7.5,11.5,2025-01-14
1,3.8,13.8,7.6,-1.0,9.5,3.5,53,30949.14,10.97,3.25,2.24,0.0,0.0,0,41,11,19.6,55.1,2025-01-15
1,2.2,6.9,4.7,-2.6,3.6,0.7,50,30678.9,10.47,3.25,1.68,0.0,0.0,0,44,13,15.4,46.4,2025-01-16
0,2.5,7.8,4.3,-3.0,3.1,-0.3,52,31476.07,12.67,3.45,2.06,0.0,0.0,0,6,1,17.4,50.0,2025-01-17
1,2.5,7.5,4.9,-2.5,4.0,0.8,51,31592.86,12.69,3.45,1.87,0.0,0.0,0,46,12,17.2,29.2,2025-01-18
51,0.8,7.9,4.7,-3.3,5.2,1.3,58,22444.77,8.83,3.0,1.29,0.1,1.0,9,72,43,9.2,20.2,2025-01-19
51,5.0,12.4,8.4,1.5,10.6,6.1,72,27509.34,10.73,3.15,1.53,1.4,6.0,5,97,41,11.9,25.9,2025-01-20
2,6.9,11.7,8.7,3.5,9.0,6.1,75,25697.1,9.41,3.5,1.4,0.0,0.0,5,65,42,11.2,28.4,2025-01-21
1,3.7,11.4,7.4,-0.4,7.7,3.8,54,32142.66,13.02,3.55,1.98,0.0,0.0,0,28,7,12.1,29.2,2025-01-22
1,3.2,11.5,7.0,-0.3,9.1,4.2,66,29961.09,11.59,3.6,1.57,0.0,0.0,1,48,15,8.3,20.9,2025-01-23
53,4.0,12.2,7.8,0.3,9.6,4.9,64,32463.0,13.15,3.65,1.83,0.9,3.0,0,59,13,11.8,28.1,2025-01-24
3,4.4,9.1,6.1,0.3,4.8,2.4,64,15551.02,7.02,3.25,1.41,0.0,0.0,0,95,42,12.8,34.6,2025-01-25
0,2.8,10.1,6.0,-1.7,5.2,1.6,54,32807.01,13.58,3.85,2.23,0.0,0.0,0,3,0,17.6,47.9,2025-01-26
3,2.6,8.5,6.0,-1.0,6.0,2.7,57,27349.41,9.51,3.5,1.48,0.0,0.0,0,98,32,9.6,24.5,2025-01-27
51,3.0,12.8,7.1,-0.5,9.8,4.1,58,29686.95,12.67,4.0,1.85,0.4,3.0,1,82,30,11.3,42.8,2025-01-28
2,3.8,10.9,6.8,-0.9,5.7,2.4,42,33113.65,13.9,3.95,2.56,0.0,0.0,0,52,5,16.2,46.8,2025-01-29
0,1.8,9.9,5.7,-2.0,6.6,1.8,44,33360.05,13.96,3.95,2.28,0.0,0.0,0,11,1,17.9,37.1,2025-01-30
3,3.2,10.4,6.4,-1.4,6.5,2.1,44,33295.31,13.91,3.95,2.44,0.0,0.0,0,87,14,13.2,39.6,2025-01-31
3,2.2,10.1,6.3,-1.7,7.1,3.0,55,31933.75,12.73,3.9,1.76,0.0,0.0,0,100,40,9.5,18.7,2025-02-01
61,2.7,6.8,4.5,-1.0,3.9,1.2,85,0.0,3.59,0.65,0.51,7.6,13.0,49,95,72,14.5,41.0,2025-02-02
2,3.5,8.8,5.8,0.2,6.6,3.1,76,29675.29,9.24,1.45,1.16,0.0,0.0,4,71,41,9.9,23.8,2025-02-03
3,2.7,8.9,5.5,-0.9,5.2,1.8,60,29696.79,12.37,2.85,1.84,0.0,0.0,0,90,28,13.8,32.8,2025-02-04
2,0.6,7.7,3.7,-3.9,2.8,-1.0,45,34912.29,14.37,4.05,2.39,0.0,0.0,0,53,6,20.4,47.2,2025-02-05
1,0.7,7.8,3.9,-4.4,4.2,-0.5,39,35036.76,14.93,4.15,2.28,0.0,0.0,0,49,8,14.4,40.7,2025-02-06
2,0.5,7.6,4.2,-3.8,3.6,-0.2,40,34509.2,13.86,3.85,2.28,0.0,0.0,0,50,10,17.9,57.6,2025-02-07
0,0.7,7.4,4.1,-4.6,2.1,-1.1,42,35288.91,15.43,4.35,2.63,0.0,0.0,0,3,0,21.7,51.1,2025-02-08
0,2.4,8.9,5.0,-2.5,4.4,0.2,41,35416.3,15.29,4.4,2.65,0.0,0.0,0,16,4,15.0,30.2,2025-02-09
1,0.5,8.7,5.1,-3.6,5.6,1.2,43,35491.59,15.62,4.4,2.29,0.0,0.0,0,34,7,11.4,23.0,2025-02-10
1,1.7,8.4,4.5,-2.3,3.7,0.0,50,35556.61,15.77,4.5,2.33,0.0,0.0,0,28,4,17.6,42.1,2025-02-11
2,0.8,11.9,6.1,-2.9,7.8,2.4,59,32400.0,13.38,4.6,2.04,0.0,0.0,0,57,19,23.0,64.8,2025-02-12
51,2.7,12.4,7.7,-2.4,10.4,3.2,55,35685.2,16.0,4.65,2.56,0.3,2.0,0,61,10,25.3,76.0,2025-02-13
1,2.4,11.9,6.8,-2.6,8.7,2.8,44,35748.66,16.25,4.7,2.66,0.0,0.0,0,27,6,14.8,24.8,2025-02-14
1,3.8,11.3,7.8,-0.1,7.7,4.5,58,35811.52,16.18,4.7,2.43,0.0,0.0,0,35,9,14.5,31.0,2025-02-15
51,5.1,13.7,9.1,1.8,11.3,6.8,66,29114.63,13.53,4.45,1.99,0.1,1.0,12,93,51,7.9,17.3,2025-02-16
51,3.5,13.2,8.3,-2.2,10.7,4.6,58,33906.66,13.35,4.7,2.53,0.2,1.0,0,56,26,20.6,65.9,2025-02-17
2,1.9,7.1,4.4,-3.6,3.2,-0.4,39,34471.56,16.64,4.6,2.65,0.0,0.0,0,68,15,20.0,65.9,2025-02-18
0,0.9,6.2,3.4,-4.1,1.2,-1.7,43,36000.0,17.3,4.8,2.56,0.0,0.0,0,10,2,18.0,46.8,2025-02-19
1,0.8,8.0,3.9,-3.8,4.4,-0.5,40,36000.0,16.65,4.85,2.58,0.0,0.0,0,35,8,14.7,35.3,2025-02-20
2,1.0,8.2,4.4,-3.9,4.5,-0.1,40,35057.41,16.88,5.0,2.58,0.0,0.0,0,52,15,15.9,33.1,2025-02-21
2,1.2,7.7,3.8,-3.5,3.8,-0.7,44,36000.0,16.36,4.85,2.56,0.0,0.0,0,54,17,17.7,38.9,2025-02-22
2,0.8,7.9,4.3,-4.2,4.7,-0.1,38,36000.0,17.73,5.05,2.64,0.0,0.0,0,71,16,12.9,28.1,2025-02-23
1,0.4,7.8,3.9,-4.0,3.2,-0.6,47,36000.0,17.8,5.1,2.56,0.0,0.0,0,27,6,16.5,41.4,2025-02-24
1,2.3,10.6,6.5,-2.0,7.5,2.5,49,36000.0,18.26,5.2,2.85,0.0,0.0,0,31,2,14.7,42.5,2025-02-25
3,4.7,14.9,9.4,1.1,12.3,5.7,43,36000.0,17.6,5.35,3.24,0.0,0.0,0,85,21,15.9,43.2,2025-02-26
2,4.2,13.1,8.6,-0.0,11.4,5.3,47,36000.0,18.47,5.4,2.91,0.0,0.0,0,53,6,12.6,20.2,2025-02-27
1,3.8,13.6,8.7,0.2,11.7,6.1,62,36000.0,16.29,5.4,2.33,0.0,0.0,1,47,18,8.8,18.0,2025-02-28
1,5.1,16.8,10.8,2.3,14.8,8.7,66,36000.0,18.52,5.5,2.77,0.0,0.0,0,34,5,11.3,32.0,2025-03-01
2,6.4,17.7,11.5,4.2,16.0,9.6,66,34015.66,13.42,5.4,2.13,0.0,0.0,2,61,25,7.6,17.3,2025-03-02
63,1.5,10.6,5.6,-2.1,9.6,2.6,88,0.0,1.63,0.9,0.38,25.5,15.0,7,100,72,16.6,52.6,2025-03-03
61,0.7,5.9,2.6,-3.7,2.1,-1.3,71,10851.95,7.39,4.9,1.16,7.2,7.0,6,100,59,15.7,51.8,2025-03-04
63,0.9,8.7,4.8,-3.4,6.6,1.5,93,0.0,1.34,0.35,0.31,13.3,13.0,65,100,89,15.6,48.6,2025-03-05
3,5.9,12.1,9.3,1.0,7.9,5.2,58,3516.56,5.93,0.85,2.04,0.0,0.0,59,97,84,18.2,42.8,2025-03-06
2,2.7,9.3,6.0,-2.3,5.1,1.0,48,36129.85,19.7,5.55,3.11,0.0,0.0,0,74,18,20.1,57.2,2025-03-07
61,1.2,6.1,3.2,-2.2,3.1,-0.5,64,8183.39,7.97,4.35,1.28,8.1,7.0,20,100,68,9.8,30.6,2025-03-08
51,1.2,11.2,6.4,-2.4,7.7,2.9,64,33442.46,17.5,5.8,2.41,0.1,1.0,0,70,29,11.8,32.8,2025-03-09
2,3.5,11.8,7.8,-0.4,10.3,4.6,51,36689.12,20.31,5.85,3.01,0.0,0.0,0,50,10,10.7,25.6,2025-03-10
53,5.6,13.9,10.0,3.2,11.0,7.9,72,18712.79,10.13,5.7,1.69,0.7,1.0,28,94,59,11.1,29.2,2025-03-11
61,8.1,12.6,10.5,6.6,12.2,9.7,93,2810.57,6.97,2.95,1.06,5.2,7.0,42,100,75,7.4,18.7,2025-03-12
3,8.6,18.8,13.2,7.2,19.1,12.1,75,33527.05,17.02,5.65,2.86,0.0,0.0,0,100,58,14.0,31.7,2025-03-13
2,7.7,16.3,11.3,2.9,14.8,7.7,43,37043.21,20.24,5.9,3.8,0.0,0.0,0,65,12,16.1,35.3,2025-03-14
51,5.3,10.7,7.4,1.5,7.7,3.9,55,18029.73,9.0,3.6,1.86,1.1,3.0,0,100,57,14.5,35.6,2025-03-15
63,4.5,7.2,5.9,1.1,4.9,2.7,92,0.0,3.78,0.4,0.53,23.0,19.0,51,99,81,17.2,56.2,2025-03-16
53,6.2,14.8,9.6,1.5,11.5,6.3,64,36283.83,17.42,6.15,3.07,0.6,1.0,0,69,29,18.7,51.5,2025-03-17
51,4.6,11.0,7.9,0.3,7.4,4.3,55,36243.52,17.48,5.6,2.79,0.4,2.0,9,83,51,14.3,38.9,2025-03-18
65,1.7,9.6,6.0,-2.9,5.8,2.3,77,13965.08,7.64,3.9,1.23,37.2,14.0,0,100,54,19.0,65.2,2025-03-19
1,4.2,11.5,7.8,0.0,9.7,4.8,55,37246.73,20.89,6.2,3.03,0.0,0.0,0,36,14,15.5,27.4,2025-03-20
0,3.5,15.7,9.8,0.6,12.7,7.4,66,38864.6,21.55,6.3,3.13,0.0,0.0,0,4,0,13.1,41.0,2025-03-21
0,7.8,21.8,14.6,4.9,21.7,12.7,52,39060.0,21.6,6.45,3.96,0.0,0.0,0,0,0,10.7,45.7,2025-03-22
0,10.4,22.0,15.3,7.6,21.3,13.7,54,39287.95,21.7,6.45,3.93,0.0,0.0,0,5,1,9.2,34.2,2025-03-23
51,8.2,16.2,12.5,6.8,15.7,11.8,87,31231.64,13.59,4.9,2.05,0.1,1.0,0,97,52,9.4,22.0,2025-03-24
3,8.6,22.0,15.3,7.4,23.0,14.6,72,36034.19,21.54,6.65,3.79,0.0,0.0,0,100,16,12.8,50.4,2025-03-25
2,13.3,24.2,18.3,11.9,25.0,17.2,56,39465.16,22.12,6.75,4.32,0.0,0.0,0,77,10,16.5,51.8,2025-03-26
3,9.4,20.2,15.2,8.1,21.0,15.0,81,36811.62,20.03,6.8,3.16,0.0,0.0,0,92,56,11.7,59.4,2025-03-27
63,14.1,22.2,17.6,12.6,24.9,18.2,85,15081.19,11.17,5.85,2.2,8.8,7.0,35,100,68,14.8,56.2,2025-03-28
63,4.4,13.4,7.7,1.0,12.6,5.3,83,0.0,3.0,1.65,0.63,10.3,12.0,66,100,91,14.4,43.9,2025-03-29
61,4.6,12.7,8.3,1.8,11.7,5.9,65,36905.96,21.51,5.8,3.16,1.6,4.0,5,91,51,17.1,39.6,2025-03-30
3,5.6,7.3,6.4,1.7,4.0,2.8,62,3904.26,7.16,5.45,1.5,0.0,0.0,48,96,81,11.2,32.4,2025-03-31
63,3.3,6.9,5.0,-1.0,3.9,1.4,92,0.0,2.54,0.6,0.42,19.3,23.0,71,100,92,17.6,55.4,2025-04-01
63,6.9,12.1,9.8,4.0,10.1,7.2,87,0.0,4.28,1.85,0.86,28.6,12.0,64,100,88,16.8,48.2,2025-04-02
61,7.8,9.8,8.4,6.0,7.3,6.5,87,0.0,3.58,0.9,0.65,5.6,11.0,37,98,74,9.6,32.8,2025-04-03
2,6.6,16.0,10.9,4.2,13.8,8.0,62,39659.08,20.38,6.95,3.47,0.0,0.0,4,66,29,14.5,32.4,2025-04-04
